x,y,type,geom
98.3726269,25.794139927823597,square,POINT (437104.15158362093 2853036.3036613856)
98.37246329,25.79416258979795,square,POINT (437087.76141253585 2853038.8915185425)
98.37263948217092,25.793992624884687,square,POINT (437105.3355588561 2853019.984631823)
98.37245490353322,25.79401529,square,POINT (437086.84252751333 2853022.5825123996)
98.37252621800688,25.793867983793422,square,POINT (437093.9144415239 2853006.2354032435)
98.372371,25.793580931084847,square,POINT (437078.20187644794 2852974.520007722)
98.37221159532902,25.793652694327157,square,POINT (437062.2581284707 2852982.5435946793)
98.37207736,25.79352805287851,square,POINT (437048.7340855156 2852968.8043909865)
98.37225354501942,25.79346384359625,square,POINT (437066.36411059834 2852961.6093284283)
98.37176273364196,25.793516721831228,square,POINT (437017.18537140934 2852967.6999999313)
98.37184663302271,25.793331647905635,square,POINT (437025.49898713554 2852947.163915259)
98.37165366444698,25.79329387768124,square,POINT (437006.13278810977 2852943.0733715165)
98.37113348828626,25.79305214796018,square,POINT (436953.8541851982 2852916.552058948)
98.37123836251222,25.79314279666334,square,POINT (436964.41640808753 2852926.540709477)
98.37135162667624,25.79302570874204,square,POINT (436975.7099189398 2852913.5196243096)
98.41948562,25.74891179,square,POINT (441779.9042860176 2848006.0212469758)
98.42869269,25.750685805611194,square,POINT (442704.15733678645 2848198.449743394)
98.42887853100262,25.750696817628235,square,POINT (442722.8004774807 2848199.588521111)
98.42904480678384,25.75069902003152,square,POINT (442739.4775109483 2848199.7602130333)
98.42919641117258,25.750769496915105,square,POINT (442754.71586043417 2848207.499237223)
98.42924776104618,25.75050961319968,square,POINT (442759.74123061774 2848178.6965628085)
98.42909126619328,25.750304789192807,square,POINT (442743.9479716763 2848156.0816101437)
98.42886875,25.75030258678221,square,POINT (442721.63046052394 2848155.9343370744)
98.42887853100262,25.750196871025608,square,POINT (442722.56070261006 2848144.2227755077)
98.42911082804989,25.750203478263156,square,POINT (442745.8612890769 2848144.8536091493)
98.42847506770998,25.750998546497968,square,POINT (442682.4815211176 2848233.1782822944)
98.42846039631752,25.750910450556827,square,POINT (442680.9678323625 2848223.4286213457)
98.43148827,25.739059435774504,square,POINT (442978.979765893 2846909.696660426)
98.43173081,25.738985844614053,square,POINT (443003.27142576646 2846901.4421403627)
98.43187123,25.738926051762636,square,POINT (443017.3268352913 2846894.759837534)
98.43202952,25.738896155325644,square,POINT (443033.1890131734 2846891.3806548235)
98.43175889588709,25.738307423957277,square,POINT (443005.76461931656 2846826.2995973914)
98.43161592610284,25.738362617646956,square,POINT (442991.45087479195 2846832.473688435)
98.43145763812744,25.73841091210439,square,POINT (442975.5974154164 2846837.8903737357)
98.43131211531134,25.738468405480518,square,POINT (442961.0287221832 2846844.320276194)
98.42741196358804,25.731882953464357,square,POINT (442566.67352422886 2846116.7188440897)
98.42759416765227,25.73182170870921,square,POINT (442584.9204281543 2846109.857125472)
98.43162516,25.72901098222045,square,POINT (442987.9162137194 2845796.841231973)
98.43194313432056,25.728881490997168,square,POINT (443019.7503281074 2845782.3636676534)
98.43516665867222,25.72704664613443,square,POINT (443342.2303472593 2845577.7798255216)
98.43547454382478,25.726915888192877,square,POINT (443373.05263854086 2845563.1671828553)
98.43576044,25.726907963464527,square,POINT (443401.7271268886 2845562.1669475744)
98.43715031872652,25.72648795210609,square,POINT (443540.94914180227 2845515.058412405)
